paper_id	0	1	2	3	4	5	6	decision
QbFfqWAEmMr	6.0	6.0	5.0	6.0	5.0			Unknown
o6dG7nVYDS	8.0	5.0	5.0	3.0				Unknown
G89-1yZLFHk	6.0	6.0	6.0	6.0	5.0			Unknown
saNgDizIODl	5.0	5.0	5.0					Unknown
GlN8MUkciwi	6.0	5.0	5.0	6.0				Unknown
rMbLORc8oS	6.0	3.0	3.0	5.0				Unknown
o2UwRc8fbXI	3.0	6.0	3.0	3.0				Unknown
b30Yre8MzuN	5.0	6.0	5.0	6.0				Unknown
q2DCMRTvdZ-	5.0	3.0	3.0	3.0	3.0			Unknown
ljxWpdBl4V	5.0	6.0	5.0	6.0	6.0			Unknown
O2s9k4h0x7L	3.0	6.0	3.0	6.0				Unknown
in1ynkrXyMH	6.0	6.0	5.0	3.0				Unknown
o86_622j0sb	5.0	5.0	5.0	5.0				Unknown
YfFWrndRGQx	6.0	6.0	6.0	6.0				Unknown
_xxbJ7oSJXX	5.0	6.0	5.0	5.0				Unknown
Vvmj4zGU_z3	6.0	6.0	6.0	5.0				Unknown
B3Nde6lvab	6.0	8.0	5.0					Unknown
KJztlfGPdwW	5.0	8.0	6.0					Unknown
CQzlxFVcmw1	6.0	6.0	5.0					Unknown
PTRo58zPt3P	8.0	8.0	8.0	8.0	8.0			Unknown
fJIrkNKGBNI	5.0	5.0	5.0	5.0				Unknown
a61qArWbjw_	3.0	8.0	6.0	5.0				Unknown
Ee2ugKwgvyy	5.0	6.0	3.0					Unknown
DesNW4-5ai9	5.0	8.0	6.0	5.0				Unknown
rS9t6WH34p	6.0	6.0	8.0	5.0				Unknown
86sEVRfeGYS	5.0	6.0	3.0	5.0				Unknown
tT9t_ZctZRL	8.0	6.0	6.0	5.0	6.0			Unknown
3M3t3tUbA2Y	3.0	5.0	6.0	5.0				Unknown
miA4AkGK00R	5.0	5.0	5.0	6.0				Unknown
moHCzz6D5H3	8.0	6.0	8.0	5.0				Unknown
w7Nb5dSMM-	5.0	3.0	3.0	3.0				Unknown
lpkGn3k2YdD	8.0	8.0	5.0	8.0				Unknown
Oxeka7Z7Hor	5.0	6.0	8.0	6.0				Unknown
USIgIY6TNDe	5.0	6.0	6.0	6.0	6.0			Unknown
WQVouCWioh	3.0	5.0	3.0	5.0	3.0			Unknown
2sDQwC_hmnM	6.0	6.0	5.0					Unknown
0JzqUlIVVDd	6.0	3.0	8.0	6.0				Unknown
xxyTjJFzy3C	6.0	3.0	6.0	5.0				Unknown
WKWAkkXGpWN	6.0	6.0	3.0	6.0	3.0			Unknown
0Kj5mhn6sw	3.0	6.0	5.0					Unknown
xCVJMsPv3RT	6.0	6.0	6.0					Unknown
-llS6TiOew	8.0	8.0	8.0	6.0	6.0			Unknown
HUeyM2qVey2	5.0	6.0	6.0	8.0				Unknown
p0rCmDEN_-	3.0	10.0	5.0	3.0				Unknown
6PahjGFjVG-	5.0	6.0	3.0	3.0	6.0			Unknown
4V4TZG7i7L_	5.0	5.0	6.0	6.0				Unknown
OqcZu8JIIzS	8.0	5.0	6.0	8.0				Unknown
IsHQmuOqRAG	3.0	5.0	5.0	8.0				Unknown
KNfuensPHDU	3.0	5.0	5.0	5.0				Unknown
1-YP2squpa7	3.0	6.0	5.0	8.0				Unknown
Jjcv9MTqhcq	6.0	5.0	6.0	6.0				Unknown
c7S4WIlmu5	5.0	5.0	3.0	3.0				Unknown
YxWU4YZ4Cr	6.0	3.0	3.0	3.0				Unknown
6ooiNCGZa5K	3.0	6.0	5.0					Unknown
oVE1z8NlNe	3.0	6.0	8.0	5.0				Unknown
TWANKAJ1ZCr	5.0	6.0	5.0					Unknown
fHPdmN3I0tY	5.0	6.0	5.0	8.0				Unknown
CJzi3dRlJE-	6.0	8.0	8.0	3.0				Unknown
aBVxf5NaaRt	6.0	5.0	8.0	8.0				Unknown
TBpg4PnXhYH	8.0	8.0	8.0	6.0	6.0			Unknown
YgPqNctmyd	8.0	6.0	3.0	6.0				Unknown
L7wzpQttNO	6.0	6.0	8.0					Unknown
FH_mZOKFX-b	3.0	3.0	3.0	5.0				Unknown
MljXVdp4A3N	8.0	8.0	6.0	8.0				Unknown
KSugKcbNf9	8.0	5.0	6.0					Unknown
U1edbV4kNu_	6.0	3.0	6.0	6.0				Unknown
niZImJIrqVt	5.0	5.0	6.0	8.0	5.0			Unknown
X1y1ur-NCh_	6.0	5.0	6.0	6.0				Unknown
IJ-88dRfkdz	6.0	6.0	6.0	6.0				Unknown
ar92oEosBIg	8.0	3.0	6.0	8.0	3.0			Unknown
D9E8MKsfhw	5.0	5.0	6.0					Unknown
kSwqMH0zn1F	6.0	6.0	6.0	6.0				Unknown
5qwA7LLbgP0	6.0	6.0	3.0	3.0	6.0			Unknown
ZkC8wKoLbQ7	8.0	8.0	6.0	3.0				Unknown
BNIt2myzSzS	5.0	3.0	3.0	1.0				Unknown
2cpsEstmH1	5.0	8.0	5.0	3.0				Unknown
Zf4ZdI4OQPV	5.0	5.0	6.0	6.0				Unknown
Rty5g9imm7H	6.0	5.0	5.0	3.0				Unknown
DNRADop4ksB	8.0	8.0	8.0	6.0				Unknown
twv2QlJhXzo	5.0	6.0	6.0					Unknown
fRb9LBWUo56	5.0	3.0	3.0	5.0				Unknown
clwYez4n8e8	5.0	6.0	5.0	6.0				Unknown
oWZsQ8o5EA	8.0	5.0	6.0	10.0				Unknown
UF5cHSBycOt	5.0	3.0	3.0	5.0				Unknown
9kpuB2bgnim	8.0	6.0	6.0	6.0				Unknown
3MjOIZ2CF9	6.0	5.0	6.0	5.0				Unknown
Rx9luEzcSoy	6.0	8.0	6.0	6.0				Unknown
AMpki9kp8Cn	6.0	6.0	6.0	6.0	6.0			Unknown
5sP_PUUS78v	6.0	3.0	6.0	8.0				Unknown
ZUXZKjfptc9	6.0	6.0	5.0	3.0				Unknown
dLDzuxaN0Hd	8.0	5.0	8.0	5.0				Unknown
0J98XyjlQ1	5.0	6.0	6.0	3.0				Unknown
JVWB8QRUOi-	5.0	3.0	3.0					Unknown
2RNpZ8S4alJ	3.0	3.0	5.0	3.0				Unknown
oapKSVM2bcj	8.0	3.0	6.0	3.0				Unknown
dK_t8oN8G4	6.0	6.0	5.0	5.0				Unknown
Vy5WbmrVPaD	3.0	6.0	3.0					Unknown
rbPg0zkHGi	5.0	3.0	6.0					Unknown
morSrUyWG26	5.0	5.0	5.0	6.0				Unknown
dNigytemkL	8.0	8.0	6.0	6.0				Unknown
ibNr25jJrf	5.0	6.0	8.0	8.0	5.0			Unknown
46lmrnVBHBL	5.0	8.0	3.0	6.0				Unknown
Zae_OHNq-y	3.0	3.0	3.0	8.0				Unknown
EwqEx5ipbOu	6.0	8.0	5.0	6.0				Unknown
T8wHz4rnuGL	8.0	8.0	8.0	8.0				Unknown
eZ-xMLuKPc	6.0	5.0	3.0					Unknown
r9cpyzP-DQ	6.0	3.0	6.0	3.0				Unknown
T_p1vd88T87	3.0	3.0	3.0	6.0	5.0			Unknown
rGg-Qcyplgq	6.0	5.0	6.0					Unknown
5Qkd7-bZfI	6.0	6.0	6.0	6.0				Unknown
ET1UAOYeU42	8.0	5.0	3.0	3.0				Unknown
TEt7PsVZux6	3.0	5.0	6.0	6.0				Unknown
qXa0nhTRZGV	3.0	6.0	3.0	3.0				Unknown
EMLJ_mTz_z	8.0	6.0	5.0	3.0				Unknown
VPjw9KPWRSK	6.0	6.0	8.0	6.0				Unknown
UFYYol-bRq	6.0	6.0	5.0	8.0				Unknown
Y0cGpgUhSvp	5.0	5.0	6.0	6.0				Unknown
hEiwVblq4P	5.0	5.0	3.0	3.0				Unknown
huXTh4GF2YD	8.0	5.0	5.0	6.0				Unknown
m7zsaLt1Sab	3.0	3.0	3.0	3.0	1.0			Unknown
gjNcH0hj0LM	10.0	6.0	6.0	6.0				Unknown
YDqIYJBQTQs	3.0	6.0	3.0					Unknown
UTTrevGchy	5.0	5.0	6.0	6.0				Unknown
CAjxVodl_v	6.0	8.0	8.0					Unknown
iulEMLYh1uR	8.0	5.0	6.0	5.0				Unknown
W3-hiLnUYl	3.0	8.0	5.0	5.0				Unknown
inSTvgLk2YP	6.0	5.0	3.0	5.0				Unknown
U8pbd00cCWB	5.0	8.0	6.0	6.0				Unknown
uPv9Y3gmAI5	6.0	6.0	6.0					Unknown
31d5RLCUuXC	3.0	6.0	8.0	6.0				Unknown
y_tIL5vki1l	6.0	5.0	6.0	5.0				Unknown
OzyXtIZAzFv	6.0	6.0	6.0	5.0				Unknown
TTnjervir3J	3.0	1.0	1.0	3.0				Unknown
FZoZ7a31GCW	8.0	5.0	8.0					Unknown
eBCmOocUejf	6.0	6.0	6.0	6.0				Unknown
i1ogYhs0ByT	8.0	5.0	8.0	6.0	6.0			Unknown
HFmAukZ-k-2	6.0	8.0	8.0	8.0				Unknown
sOK-zS6WHB	6.0	8.0	6.0	8.0	8.0			Unknown
g6UqpVislvH	10.0	3.0	5.0	6.0	3.0			Unknown
8rCMq0yJMG	3.0	8.0	5.0	6.0				Unknown
aBAgwom5pTn	6.0	5.0	6.0	3.0	3.0			Unknown
rzvOQrnclO0	6.0	8.0	6.0	8.0				Unknown
wronZ3Mx_d	5.0	6.0	8.0	6.0	5.0			Unknown
NHHM1jjrH1	5.0	5.0	5.0	5.0				Unknown
kroqZZb-6s	8.0	6.0	5.0	5.0				Unknown
7IWGzQ6gZ1D	10.0	6.0	6.0					Unknown
_X90SIKbHa	6.0	6.0	8.0					Unknown
NeRrtif_hfa	5.0	5.0	8.0					Unknown
BGvt0ghNgA	6.0	8.0	6.0	6.0				Unknown
qw674L9PfQE	8.0	5.0	6.0	5.0				Unknown
djhu4DIZZHR	6.0	8.0	3.0	5.0				Unknown
HFPTzdwN39	8.0	5.0	3.0	6.0				Unknown
ciSap6Cw5mk	6.0	8.0	3.0					Unknown
MXEl7i-iru	6.0	6.0	8.0	6.0				Unknown
6j9YOwh8itH	5.0	6.0	3.0	3.0				Unknown
Ehhk6jyas6v	5.0	5.0	5.0					Unknown
lycl1GD7fVP	3.0	6.0	5.0	8.0				Unknown
74cDdRwm4NV	3.0	6.0	5.0	5.0				Unknown
Fj1Tpym9KxH	5.0	5.0	5.0	8.0				Unknown
oxwsctgY5da	8.0	8.0	6.0	6.0				Unknown
b-ny3x071E5	10.0	8.0	10.0	8.0				Unknown
mNLLDtkAy4X	3.0	6.0	5.0					Unknown
kxARp2zoqAk	5.0	10.0	3.0	6.0				Unknown
LdEhiMG9WLO	6.0	5.0	5.0	6.0	5.0			Unknown
h0OYV0We3oh	6.0	6.0	6.0					Unknown
mF5tmqUfdsw	6.0	6.0	6.0					Unknown
rRg0ghtqRw2	6.0	5.0	5.0	5.0				Unknown
9zcjXdavnX	5.0	1.0	6.0					Unknown
AkJyAE46GA	8.0	3.0	5.0	3.0				Unknown
0U0C2pXfTZl	6.0	8.0	5.0	3.0				Unknown
W9G_ImpHlQd	8.0	8.0	8.0	8.0				Unknown
9jInD9JjicF	8.0	5.0	6.0	5.0				Unknown
i7-BqPD1e5	6.0	6.0	5.0	5.0	5.0			Unknown
TXsjU8BaibT	8.0	5.0	8.0	5.0				Unknown
eqRTPB134q0	8.0	8.0	3.0	3.0				Unknown
9NVd-DMtThY	5.0	6.0	6.0	6.0				Unknown
qfLJBJf_DnH	5.0	3.0	6.0	3.0				Unknown
H-sddFpZAp4	8.0	5.0	5.0					Unknown
4tOrvK-fFOR	6.0	5.0	6.0	6.0				Unknown
GsH-K1VIyy	6.0	6.0	8.0	8.0				Unknown
12RoR2o32T	5.0	8.0	5.0	8.0	6.0			Unknown
1xXvPrAshao	6.0	5.0	8.0	6.0				Unknown
psQ6wcNXjS1	8.0	3.0	3.0	5.0				Unknown
Lv-G9XqLRRy	5.0	5.0	6.0	6.0				Unknown
sEIl_stzQyB	6.0	3.0	3.0	3.0				Unknown
k32ZY1CmE0	6.0	5.0	6.0	5.0				Unknown
Sqv6rs_TRV	3.0	3.0	6.0	5.0	3.0			Unknown
g2LCQwG7Of	6.0	8.0	6.0					Unknown
GesLOTU_r23	5.0	5.0	8.0	3.0	5.0			Unknown
mQxt8l7JL04	5.0	8.0	5.0	5.0	6.0			Unknown
R0xRE2MU2uA	3.0	6.0	5.0	3.0				Unknown
oC12z8lkbrU	5.0	6.0	5.0	8.0				Unknown
kUtux8k0G6y	3.0	5.0	5.0	8.0				Unknown
ZnUwk6i_iTR	5.0	3.0	5.0	3.0	6.0			Unknown
CpTuR2ECuW	5.0	6.0	8.0	5.0				Unknown
yx_uIzoHJv	3.0	3.0	3.0	5.0				Unknown
qaQ8kUBYhEK	8.0	6.0	6.0	3.0				Unknown
6PlIkYUK9As	3.0	5.0	3.0	5.0				Unknown
UECzHrGio7i	5.0	3.0	5.0	3.0				Unknown
CIaQKbTBwtU	8.0	5.0	8.0	8.0	5.0			Unknown
eqaxDZg4MHw	3.0	3.0	6.0	3.0				Unknown
OhytAdNSzO-	3.0	3.0	5.0	6.0				Unknown
l431c_2eGO2	5.0	6.0	5.0	3.0	6.0			Unknown
RQIvNJDHwy	5.0	3.0	5.0	3.0	5.0			Unknown
_ysluXvD1M	5.0	6.0	3.0	6.0				Unknown
J7V_4aauV6B	3.0	8.0	6.0	3.0				Unknown
izvwgBic9q	5.0	3.0	8.0					Unknown
zLb9oSWy933	6.0	6.0	3.0	6.0				Unknown
F1Z3QH-VjZE	5.0	3.0	6.0	3.0				Unknown
GgOEm9twFO_	5.0	5.0	5.0	8.0				Unknown
06fUz_bJStS	5.0	3.0	5.0	5.0				Unknown
hGXij5rfiHw	6.0	8.0	8.0					Unknown
Cy0n0WCvLPU	5.0	5.0	1.0					Unknown
JzNB0eA2-M4	8.0	5.0	5.0	8.0				Unknown
mdUYT5QV0O	6.0	8.0	8.0					Unknown
RLtqs6pzj1-	5.0	6.0	6.0	6.0				Unknown
1uf_kj0GUF-	5.0	6.0	6.0	3.0				Unknown
INO8hGXD2M	3.0	6.0	6.0	3.0				Unknown
lyzRAErG6Kv	5.0	6.0	5.0	8.0				Unknown
vHVcB-ak3Si	8.0	6.0	6.0					Unknown
qNcedShvOs4	3.0	5.0	3.0	5.0				Unknown
RQ3xUXjZWMO	3.0	3.0	5.0	5.0				Unknown
PLDOnFoVm4	8.0	8.0	8.0					Unknown
2_vhkAMARk	8.0	5.0	8.0	8.0				Unknown
ab7lBP7Fb60	3.0	5.0	6.0	3.0				Unknown
AXWygMvuT6Q	8.0	6.0	6.0					Unknown
QdcbUq0-tYM	5.0	6.0	5.0	5.0				Unknown
pIjvdJ_QUYv	6.0	6.0	5.0					Unknown
6gLEKETxUWp	3.0	3.0	3.0	3.0				Unknown
v6s3HVjPerv	6.0	5.0	5.0	8.0				Unknown
R3zqNwzAVsC	5.0	5.0	5.0	5.0				Unknown
VXqNHWh3LL	3.0	8.0	6.0					Unknown
iRCUlgmdfHJ	8.0	10.0	8.0	8.0				Unknown
3r034NfDKnL	5.0	5.0	3.0	5.0				Unknown
fILj7WpI-g	8.0	8.0	8.0	8.0				Unknown
lL3lnMbR4WU	6.0	8.0	8.0					Unknown
HG7vlodGGm	3.0	8.0	8.0	3.0	6.0	3.0	3.0	Unknown
inA3szzFE5	6.0	3.0	5.0	6.0				Unknown
tV3N0DWMxCg	6.0	8.0	8.0	8.0	6.0			Unknown
CgV7NVOgDJZ	8.0	5.0	5.0	3.0				Unknown
7WVAI3dRwhR	6.0	5.0	5.0					Unknown
yztpblfGkZ-	5.0	3.0	5.0	3.0	6.0			Unknown
b-VKxdc5cY	6.0	6.0	6.0	6.0				Unknown
7zc05Ua_HOK	3.0	3.0	8.0	6.0	6.0	8.0		Unknown
GQd7mXSPua	6.0	5.0	6.0					Unknown
WnOLO1f50MH	8.0	5.0	6.0	5.0				Unknown
8FhxBtXSl0	8.0	8.0	8.0	6.0				Unknown
_BNiN4IjC5	6.0	6.0	6.0	6.0				Unknown
FpKgG31Z_i9	3.0	3.0	8.0	3.0				Unknown
yhjfOvBvvmz	5.0	3.0	3.0	5.0				Unknown
28ib9tf6zhr	8.0	6.0	6.0	8.0				Unknown
dEOeQgQTyvt	6.0	6.0	6.0	3.0				Unknown
MQ2sAGunyBP	5.0	8.0	6.0	6.0				Unknown
QguFu30t0d	3.0	6.0	6.0	5.0				Unknown
vdKncX1WclT	3.0	3.0	5.0	6.0				Unknown
XK4GN6UCTfH	5.0	5.0	5.0					Unknown
ijygjHyhcFp	3.0	5.0	5.0	6.0				Unknown
NuzF7PHTKRw	6.0	5.0	6.0	6.0				Unknown
rTAclwH46Tb	6.0	6.0	6.0	8.0				Unknown
WuEiafqdy9H	8.0	5.0	8.0	6.0				Unknown
LQCUmLgFlR	6.0	3.0	6.0	5.0				Unknown
fkjO_FKVzw	3.0	6.0	5.0	8.0				Unknown
p-BhZSz59o4	8.0	8.0	8.0	8.0				Unknown
s-b95PMK4E6	6.0	3.0	8.0	8.0	8.0			Unknown
gtvM-nBZEbc	6.0	6.0	6.0	5.0				Unknown
DTXZqTNV5nW	5.0	8.0	6.0	8.0				Unknown
ZaVVVlcdaN	6.0	5.0	5.0	6.0				Unknown
ucASPPD9GKN	6.0	6.0	6.0	6.0				Unknown
u6sUACr7feW	3.0	5.0	5.0					Unknown
q1QmAqT_4Zh	6.0	6.0	6.0	5.0				Unknown
fwsdscicqUm	3.0	5.0	3.0	6.0				Unknown
_MO2xzOZXv	3.0	5.0	8.0	5.0	3.0			Unknown
vXGcHthY6v	6.0	6.0	5.0	6.0				Unknown
ajOSNLwqssu	5.0	6.0	1.0					Unknown
Ck_iw4jMC4l	3.0	3.0	5.0	6.0				Unknown
1oEvY1a67c1	6.0	5.0	8.0					Unknown
34mWBCWMxh9	5.0	5.0	8.0	5.0				Unknown
wNsNT56zDkG	8.0	6.0	8.0	8.0				Unknown
bwq6O4Cwdl	8.0	6.0	6.0	6.0	8.0			Unknown
qEGBB9YB31	5.0	6.0	6.0	5.0				Unknown
9otKVlgrpZG	6.0	8.0	5.0	6.0				Unknown
Iog0djAdbHj	8.0	6.0	5.0	8.0				Unknown
j3krplz_4w6	5.0	6.0	5.0					Unknown
-xhk0O7iAc0	3.0	5.0	1.0	5.0				Unknown
FPCMqjI0jXN	8.0	8.0	6.0					Unknown
y1PXylgrXZ	3.0	5.0	6.0	8.0				Unknown
AVShGWiL9z	5.0	6.0	3.0					Unknown
HCRVf71PMF	5.0	6.0	6.0	5.0				Unknown
w60btE_8T2m	6.0	6.0	8.0	8.0				Unknown
YDud6vPh2V	5.0	5.0	5.0	5.0				Unknown
N9W24a4zU	6.0	8.0	6.0					Unknown
M2sNIiCC6C	6.0	6.0	3.0					Unknown
J8P7g_mDpno	5.0	5.0	6.0	6.0				Unknown
a_ASZbWsQp_	3.0	3.0	5.0	5.0				Unknown
hOaYDFpQk3g	3.0	3.0	6.0	5.0	6.0	3.0	5.0	Unknown
aOX3a9q3RVV	6.0	8.0	8.0	6.0				Unknown
F2r3wYar3Py	5.0	5.0	5.0	6.0				Unknown
RjMtFbmETG	6.0	5.0	3.0	6.0				Unknown
YYHXJOawkPb	8.0	3.0	3.0	3.0				Unknown
vEZyTBRPP6o	6.0	8.0	8.0					Unknown
-Gk_IPJWvk	6.0	6.0	8.0	5.0				Unknown
bgAS1ZvveZ	6.0	6.0	3.0	6.0				Unknown
XhMa8XPHxpw	3.0	6.0	3.0	3.0				Unknown
48RBsJwGkJf	6.0	8.0	5.0	5.0				Unknown
1NUsBU-7HAL	6.0	6.0	8.0	6.0				Unknown
6kruvdT0yfY	3.0	1.0	6.0	3.0				Unknown
dHJtoaE3yRP	6.0	6.0	5.0					Unknown
MEpKGLsY8f	8.0	8.0	8.0	8.0				Unknown
6PvWo1kEvlT	8.0	8.0	6.0	3.0				Unknown
Cm08egNmrl3	5.0	3.0	5.0	5.0				Unknown
THMafOyRVpE	6.0	6.0	6.0	5.0				Unknown
G7PfyLimZBp	6.0	6.0	3.0	5.0				Unknown
O50443AsCP	6.0	8.0	8.0	8.0				Unknown
Mspk_WYKoEH	6.0	8.0	6.0	6.0				Unknown
Uy6YEI9-6v	5.0	5.0	5.0	5.0				Unknown
r88Isj2alz	3.0	6.0	6.0	3.0				Unknown
uB12zutkXJR	5.0	5.0	6.0	5.0				Unknown
qY79G8jGsep	6.0	6.0	6.0	6.0				Unknown
E9z2A1-O7e	3.0	8.0	5.0					Unknown
vruwp11pWnO	6.0	5.0	3.0	5.0	5.0			Unknown
hcQHRHKfN_	8.0	8.0	5.0	8.0				Unknown
GdPZJxjk46V	1.0	3.0	3.0					Unknown
gmxgG6_BL_N	8.0	8.0	5.0	3.0				Unknown
XEW8CQgArno	8.0	8.0	6.0	8.0				Unknown
bp-LJ4y_XC	8.0	6.0	6.0					Unknown
9-Rfew334N	6.0	6.0	6.0	6.0				Unknown
D6nH3719vZy	6.0	8.0	8.0	8.0				Unknown
D1TYemnoRN	6.0	5.0	6.0	5.0				Unknown
JZrETJlgyq	6.0	3.0	6.0	8.0				Unknown
JxFgJbZ-wft	6.0	6.0	6.0	8.0				Unknown
R-piejobttn	8.0	5.0	5.0	5.0	5.0			Unknown
Xa8sKVPnDJq	3.0	3.0	3.0	6.0				Unknown
Qaw16njk6L	6.0	8.0	6.0	5.0	6.0			Unknown
RJkAHKp7kNZ	8.0	8.0	8.0					Unknown
FS0XKbpkdOu	5.0	3.0	6.0	5.0				Unknown
HHpWuWayMo	3.0	5.0	3.0	5.0				Unknown
4C93Qvn-tz	8.0	6.0	6.0	8.0				Unknown
4Ycr8oeCoIh	6.0	6.0	8.0					Unknown
dtYnHcmQKeM	5.0	6.0	5.0	3.0				Unknown
x4tkHYGpTdq	3.0	5.0	3.0	5.0	5.0			Unknown
qhkFX-HLuHV	8.0	8.0	6.0	8.0				Unknown
rlYiXFdSy70	6.0	6.0	6.0	6.0				Unknown
KLaDXLAzzFT	5.0	6.0	6.0	8.0				Unknown
Mlwe37htstv	6.0	6.0	3.0	6.0				Unknown
SuKTLF9stD	5.0	3.0	6.0	3.0				Unknown
n6Bc3YElODq	3.0	5.0	5.0	5.0				Unknown
lQI_mZjvBxj	6.0	6.0	8.0	3.0				Unknown
-h5rboREox7	6.0	6.0	5.0	6.0				Unknown
bxiDvWZm6zU	5.0	3.0	5.0	3.0				Unknown
ei3SY1_zYsE	6.0	6.0	10.0	6.0				Unknown
