paper_id	title	link	keywords	abstract
_QLmakITKg	Efficient Split-Mix Federated Learning for On-Demand and In-Situ Customization	https://openreview.net/forum?id=_QLmakITKg	federated learning	Federated learning (FL) provides a distributed learning framework for multiple participants to collaborate learning without sharing raw data.          In many practical FL scenarios, participants have heterogeneous resources due to disparities in hardware and inference dynamics that require quickly loading models of different sizes and levels of robustness. The heterogeneity and dynamics together impose significant challenges to existing FL approaches and thus greatly limit FL's applicability. In this paper, we propose a novel Split-Mix FL strategy for heterogeneous participants that, once training is done, provides \emph{in-situ customization} of model sizes and robustness. Specifically, we achieve customization by learning a set of base sub-networks of different sizes and robustness levels, which are later aggregated on-demand according to inference requirements. This split-mix strategy achieves customization with high efficiency in communication, storage, and inference. Extensive experiments demonstrate that our method provides better in-situ customization than the existing heterogenous-architecture FL methods.
mF122BuAnnW	Localized Randomized Smoothing for Collective Robustness Certification	https://openreview.net/forum?id=mF122BuAnnW	Adversarial robustness, Robustness certification, Robust machine learning, Randomized smoothing, Verification	Models for image segmentation, node classification and many other tasks map a single input to multiple labels. By perturbing this single shared input (e.g. the image) an adversary can manipulate several predictions (e.g. misclassify several pixels). A recent collective robustness certificate provides strong guarantees on the number of predictions that are simultaneously robust. This method is however limited to strictily models, where each prediction is associated with a small receptive field. We propose a more general collective certificate for the larger class of softly local models, where each output is dependent on the entire input but assigns different levels of importance to different input regions (e.g. based on their proximity in the image). The certificate is based on our novel localized randomized smoothing approach, where the random perturbation strength for different input regions is proportional to their importance for the outputs. The resulting locally smoothed model yields strong collective guarantees while maintaining high prediction quality on both image segmentation and node classification tasks.
VQhFC3Ki5C	DEEP GRAPH TREE NETWORKS	https://openreview.net/forum?id=VQhFC3Ki5C	graph tree networks, graph tree convolution networks, graph tree attention networks, GNNs	We propose Graph Tree Networks (GTree), a self-interpretive deep graph neural network architecture which originates from the tree representation of the graphs. In the tree representation, each node forms its own tree where the node itself is the root node and all its neighbors up to hop-k are the subnodes. Under the tree representation, the message propagates upward from the leaf nodes to the root node naturally and straightforwardly to update the root node's hidden features. This message passing (or neighborhood aggregation) scheme is essentially different from that in the vanilla GCN, GAT and many of their derivatives, and is demonstrated experimentally a superior message passing scheme. Models adopting this scheme has the capability of going deep. Two scalable graph learning models are proposed within this GTree network architecture - Graph Tree Convolution Network (GTCN) and Graph Tree Attention Network (GTAN), with demonstrated state-of-the-art performances on several benchmark datasets. The deep capability is also demonstrated for both models.
B7ZbqNLDn-_	Recycling Model Updates in Federated Learning: Are Gradient Subspaces Low-Rank?	https://openreview.net/forum?id=B7ZbqNLDn-_	Distributed Machine Learning, Federated Learning, Gradient Subspace, SGD	In this paper, we question the rationale behind propagating large numbers of parameters through a distributed system during federated learning. We start by examining the rank characteristics of the subspace spanned by gradients (i.e., the gradient-space) in centralized model training, and observe that the gradient-space often consists of a few leading principal components accounting for an overwhelming majority (95-99%) of the explained variance. Motivated by this, we propose the "Look-back Gradient Multiplier" (LBGM) algorithm, which utilizes this low-rank property of the gradient-space in federated learning. Operationally, LBGM recycles the gradients between model update rounds to significantly reduce the number of parameters to be propagated through the system. We analytically characterize the convergence behavior of LBGM, revealing the nature of the trade-off between communication savings and model performance. Our subsequent experimental results demonstrate the improvement LBGM obtains on communication overhead compared to federated learning baselines. Additionally, we show that LBGM is a general plug-and-play algorithm that can be used standalone or stacked on top of existing sparsification techniques for distributed model training.
H4PmOqSZDY	Towards Empirical Sandwich Bounds on the Rate-Distortion Function	https://openreview.net/forum?id=H4PmOqSZDY	information theory, deep generative modeling, lossy data compression	Rate-distortion (R-D) function, a key quantity in information theory, characterizes the fundamental limit of how much a data source can be compressed subject to a fidelity criterion, by \emph{any} lossy compression algorithm. As researchers push for ever-improving compression performance, establishing the R-D function of any given data source is not only of scientific interest, but also sheds light on the room for possible improvement of compression algorithms. Previous work on this problem relied on distributional assumptions on the data source (Gibson, 2017) or only applied to low-dimensional discrete data. By contrast, this paper makes the first attempt at an algorithm for sandwiching the R-D function of arbitrary sources requiring only data samples. We verify the tightness of our bounds on Gaussian and banana-shaped sources, and demonstrate the scalability of our upper bound algorithm on natural images. Our results indicate room for improving the compression performance of state-of-the-art methods by one PSNR at various bitrates.
__ObYt4753c	A Simple Approach to Adversarial Robustness in Few-shot Image Classification	https://openreview.net/forum?id=__ObYt4753c	Few-shot learning, Robustness, Image Classification	 Few-shot image classification, where the goal is to generalize to tasks with limited labeled data, has seen great progress over the years. However, the classifiers are vulnerable to adversarial examples, posing a question regarding their generalization capabilities. Recent works have tried to combine meta-learning approaches with adversarial training to improve the robustness of few-shot classifiers. We show that a simple transfer-learning based approach can be used to train adversarially robust few-shot classifiers.  We also present a method for novel classification task based on calibrating the centroid of the few-shot category towards the base classes.  We show that standard adversarial training on base categories along with centroid-based classifier in the novel categories, outperforms or is on-par with state-of-the-art advanced methods on standard benchmarks such as Mini-ImageNet, CIFAR-FS and CUB datasets. Our method is simple and easy to scale, and with little effort can lead to robust few-shot classifiers.
vIC-xLFuM6	Overcoming The Spectral Bias of Neural Value Approximation	https://openreview.net/forum?id=vIC-xLFuM6	spectral bias, neural value approximation, Q learning, reinforcement learning, neural tangent kernels, kernel regression	Value approximation using deep neural networks is a critical component of state-of-the-art reinforcement learning algorithms. While deep networks are universal function approximators, recent works have suggested the presence of a spectral bias during learning, where high-frequency components of the target function require more exponentially more gradient updates to learn than the low-frequency ones. Such dynamics contribute to slow convergence when fitting value functions that are intrinsically complex. To mitigate this issue, we propose Random Fourier Network (RFN) with a band-agnostic dimension-less initialization scheme, as a drop-in replacement of the standard multi-layer perceptrons. We demonstrate the advantage of our approach on the challenging high-dimensional continuous control domains including Ant and Humanoid, where the RFN leads to faster convergence and higher performance.
xNOVfCCvDpM	Post hoc Explanations may be Ineffective for Detecting Unknown Spurious Correlation	https://openreview.net/forum?id=xNOVfCCvDpM	explanations, feature attributions, spurious correlation, interpretability, training point ranking	Ascertaining that a deep network does not rely on an unknown spurious signal as basis for its output, prior to deployment, is crucial in high stakes settings like healthcare. While many post hoc explanation methods have been shown to be useful for some end tasks, theoretical and empirical evidence has also accumulated that show that these methods may not be faithful or useful. This leaves little guidance for a practitioner or a researcher using these methods in their decision process. To address this gap, we investigate whether three classes of post hoc explanations–feature attribution, concept activation, and training point ranking–can alert a practitioner to a model’s reliance on unknown spurious signals. We test them in two medical domains with plausible spurious signals. In a broad experimental sweep across datasets, models, and spurious signals, we find that the post hoc explanations tested can be used to identify a model’s reliance on a spurious signal, if, the spurious signal is known ahead of time by the practitioner using the explanation method. Otherwise, a search over possible spurious signals and available data is required. This finding casts doubt on the utility of these approaches, in the hands of a practitioner, for detecting a model’s reliance on spurious signals.
qyTBxTztIpQ	CrowdPlay: Crowdsourcing human demonstration data for offline learning in Atari games	https://openreview.net/forum?id=qyTBxTztIpQ		Human demonstrations of video game play can serve as vital surrogate representations of real-world behaviors, access to which would facilitate rapid progress in several complex learning settings (e.g. behavior classification, imitation learning, offline RL etc.). The ability to build such human demonstration datasets is compelling as it alleviates the pitfalls associated with building simulators or synthetic data collection pipelines which are often impractical for real-world domains, either due to cost of building and running them or very large sim-to-real gap. Crowdsourcing has emerged as a standardized tool to collect useful datasets that require human participation. However, its applicability has been under-explored in the context of collecting human behaviors on sequential decision making tasks. To this end, we present CrowdPlay -- a complete crowdsourcing pipeline for OpenAI Gym and Gym-like MDP environments, a large-scale publicly available crowdsourced dataset of human gameplay demonstrations on single and multi-player Atari 2600 games, a collection of imitation and offline reinforcement learning benchmarks, and a detailed discussion of crowdsourcing and incentivization methodology. We hope that this will drive the improvement in design of algorithms that can account for the intricacies in the dataset and thereby, enable a step forward in direction of effective learning in real-world settings.
youe3QQepVB	Generative Modeling for Multitask Visual Learning	https://openreview.net/forum?id=youe3QQepVB		Generative modeling has recently shown great promise in computer vision, but it has mostly focused on synthesizing visually realistic images. In this paper, motivated by multi-task learning of shareable feature representations, we consider a novel problem of learning a shared generative model that is useful across various visual perception tasks. Correspondingly, we propose a general multi-task oriented generative modeling (MGM) framework, by coupling a discriminative multi-task network with a generative network. While it is challenging to synthesize both RGB images and pixel-level annotations in multi-task scenarios, our framework enables us to use synthesized images paired with only weak annotations (i.e., image-level scene labels) to facilitate multiple visual tasks. Experimental evaluation on challenging multi-task benchmarks, including NYUv2 and Taskonomy, demonstrates that our MGM framework improves the performance of all the tasks by large margins, especially in the low-data regimes, and our model consistently outperforms state-of-the-art multi-task approaches.
3mgYqlH60Uj	Learning Symmetric Locomotion using Cumulative Fatigue for Reinforcement Learning	https://openreview.net/forum?id=3mgYqlH60Uj	reinforcement learning, biomechanical model, cumulative fatigue, animation, bioinspired models, physics-based simulation, locomotion	Modern deep reinforcement learning (DRL) methods allow simulated characters to learn complex skills such as locomotion from scratch. However, without further exploitation of domain-specific knowledge, such as motion capture data, finite state machines or morphological specifications, physics-based locomotion generation with DRL often results in unrealistic motions. One explanation for this is that present RL models do not estimate biomechanical effort; instead, they minimize instantaneous squared joint actuation torques as a proxy for the actual subjective cost of actions. To mitigate this discrepancy in a computationally efficient manner, we propose a method for mapping actuation torques to subjective effort without simulating muscles and their energy expenditure. Our approach is based on the Three Compartment Controller model, in which the relationships of variables such as maximum voluntary joint torques, recovery, and cumulative fatigue are present. We extend this method for sustained symmetric locomotion tasks for deep reinforcement learning using a Normalized Cumulative Fatigue (NCF) model.         In summary, in this paper we present the first RL model to use biomechanical cumulative effort for full-body movement generation without the use of any finite state machines, morphological specification or motion capture data. Our results show that the learned policies are more symmetric, periodic and robust compared to methods found in previous literature.
5ALGcXpmFyC	Training Data Size Induced Double Descent For Denoising Neural Networks and the Role of Training Noise Level	https://openreview.net/forum?id=5ALGcXpmFyC	Double Descent, Denoising Neural Neworks, High Dimensional Statistics.	When training a denoising neural network, we show that more data isn’t more beneficial. In fact the generalization error versus number of of training data points is a double descent curve.         Training a network to denoise noisy inputs is the most widely used technique for pre-training deep neural networks. Hence one important question is the effect of scaling the number of training data points. We formalize the question of how many data points should be used by looking at the generalization error for denoising noisy test data. Prior work on computing the generalization error focus on adding noise to target outputs. However, adding noise to the input is more in line with current pre-training practices. In the linear (in the inputs) regime, we provide an asymptotically exact formula for the generalization error for rank 1 data and an approximation for the generalization error for rank r data. We show using our formulas, that the generalization error versus number of data points follows a double descent curve. From this, we derive a formula for the amount of noise that needs to be added to the training data to minimize the denoising error and see that this follows a double descent curve as well.
WxuE_JWxjkW	Expressivity of Emergent Languages is a Trade-off between Contextual Complexity and Unpredictability	https://openreview.net/forum?id=WxuE_JWxjkW	Emergent Language, Expressivity	Researchers are using deep learning models to explore the emergence of language in various language games, where simulated agents interact and develop an emergent language to solve a task. We focus on factors which determine the expressivity of emergent languages, which reflects the amount of information about input spaces those languages are capable of encoding. We measure the expressivity of emergent languages based on their generalisation performance across different games, and demonstrate that the expressivity of emergent languages is a trade-off between the complexity and unpredictability of the context those languages are used in. Another novel contribution of this work is introducing a contrastive loss into the learning methods on referential games. We show that using our contrastive loss alleviates the collapse of message types seen using standard referential loss functions.
cMBKc-0OTY5	Kalman Filter Is All You Need: Optimization Works When Noise Estimation Fails	https://openreview.net/forum?id=cMBKc-0OTY5	Kalman Filter, noise estimation, optimization, gradient descent, parameterization	Determining the noise parameters of a Kalman Filter (KF) has been studied for decades. A huge body of research focuses on the task of noise estimation under various conditions, since precise noise estimation is considered equivalent to minimization of the filtering errors. However, we show that even a small violation of the KF assumptions can significantly modify the effective noise, breaking the equivalence between the tasks and making noise estimation an inferior strategy. We show that such violations are common, and are often not trivial to handle or even notice. Consequentially, we argue that a robust solution is needed - rather than choosing a dedicated model per problem.         To that end, we apply gradient-based optimization to the filtering errors directly, with relation to an efficient parameterization of the symmetric and positive-definite parameters of the KF. In a variety of state-estimation and tracking problems, we show that the optimization improves both the accuracy of the KF and its robustness to design decisions.         In addition, we demonstrate how an optimized neural network model can seem to reduce the errors significantly compared to a KF - and how this reduction vanishes once the KF is optimized similarly. This indicates how complicated models can be wrongly identified as superior to the KF, while in fact they were merely more optimized.
eDjxhFbaWX	HODA: Protecting DNNs Against Model Extraction Attacks via Hardness of Samples	https://openreview.net/forum?id=eDjxhFbaWX	Trustworthy Machine Learning, Model Extraction Attacks, Hardness of Samples	Model Extraction attacks exploit the target model's prediction API to create a surrogate model in order to steal or reconnoiter the functionality of the target model in the black-box setting. Several recent studies have shown that a data-limited adversary who has no or limited access to the samples from the target model's training data distribution can use synthesis or semantically similar samples to conduct model extraction attacks. As the training process of DNN-based classifiers is done in several epochs, we can consider this process as a sequence of subclassifiers so that each subclassifier is created at the end of an epoch. We use the sequence of subclassifiers to calculate the hardness degree of samples. In this paper, we investigate the hardness degree of samples and demonstrate that the hardness degree histogram of a data-limited adversary's sample sequences is distinguishable from the hardness degree histogram of benign users' samples sequences, consisting of normal samples. Normal samples come from the target classifier's training data distribution. We propose Hardness-Oriented Detection Approach (HODA) to detect the sample sequences of model extraction attacks. The results demonstrate that HODA can detect the sample sequences of model extraction attacks with a high success rate by only watching 100 samples of them.
kj0_45Y4r9i	Discriminative Similarity for Data Clustering	https://openreview.net/forum?id=kj0_45Y4r9i	Discriminative Similarity, Rademacher Complexity, Generalization Bound, Data Clustering	Similarity-based clustering methods separate data into clusters according to the pairwise similarity between the data, and the pairwise similarity is crucial for their performance. In this paper, we propose {\em Clustering by  Discriminative Similarity (CDS)}, a novel method which learns discriminative similarity for data clustering. CDS learns an unsupervised similarity-based classifier from each data partition, and searches for the optimal partition of the data by minimizing the generalization error of the learnt classifiers associated with the data partitions. By generalization analysis via Rademacher complexity, the generalization error bound for the unsupervised similarity-based classifier is expressed as the sum of discriminative similarity between the data from different classes. It is proved that the derived discriminative similarity can also be induced by the integrated squared error bound for kernel density classification. In order to evaluate the performance of the proposed discriminative similarity, we propose a new clustering method using a kernel as the similarity function, CDS via unsupervised kernel classification (CDSK), with its effectiveness demonstrated by experimental results.
Ow1C7s3UcY	Vitruvion: A Generative Model of Parametric CAD Sketches	https://openreview.net/forum?id=Ow1C7s3UcY	generative modeling, CAD, transformers, design, geometric constraints	Parametric computer-aided design (CAD) tools are the predominant way that engineers specify physical structures, from bicycle pedals to airplanes to printed circuit boards. The key characteristic of parametric CAD is that design intent is encoded not only via geometric primitives, but also by parameterized constraints between the elements. This relational specification can be viewed as the construction of a constraint program, allowing edits to coherently propagate to other parts of the design. Machine learning offers the intriguing possibility of accelerating the design process via generative modeling of these structures, enabling new tools such as autocompletion, constraint inference, and conditional synthesis. In this work, we present such an approach to generative modeling of parametric CAD sketches, which constitute the basic computational building blocks of modern mechanical design. Our model, trained on real-world designs from the SketchGraphs dataset, autoregressively synthesizes sketches as sequences of primitives, with initial coordinates, and constraints that reference back to the sampled primitives. As samples from the model match the constraint graph representation used in standard CAD software, they may be directly imported, solved, and edited according to downstream design tasks. In addition, we condition the model on various contexts, including partial sketches (primers) and images of hand-drawn sketches. Evaluation of the proposed approach demonstrates its ability to synthesize realistic CAD sketches and its potential to aid the mechanical design workflow.
CTOJRqLMsl	On the Convergence of Nonconvex Continual Learning with Adaptive Learning Rate	https://openreview.net/forum?id=CTOJRqLMsl		One of the objectives of continual learning is to prevent catastrophic forgetting in learning multiple tasks sequentially.         The memory based continual learning stores a small subset of the data for previous tasks and applies various methods such as quadratic programming and sample selection.         Some memory-based approaches are formulated as a constrained optimization problem and rephrase constraints on the objective for memory as the inequalities on gradients.         However, there have been little theoretical results on the convergence of continual learning.         In this paper, we propose a theoretical convergence analysis of memory-based continual learning with stochastic gradient descent.         The proposed method called nonconvex continual learning (NCCL) adapts the learning rates of both previous and current tasks with the gradients.         The proposed method can achieve the same convergence rate as the SGD method for a single task when the catastrophic forgetting term which we define in the paper is suppressed at each iteration.         It is also shown that memory-based approaches inherently overfit to memory, which degrades the performance on previously learned tasks. Experiments show that the proposed algorithm improves the performance of continual learning over existing methods for several image classification tasks.
wmQCFqV9r8L	SpaceMAP: Visualizing Any Data in 2-dimension by Space Expansion	https://openreview.net/forum?id=wmQCFqV9r8L	dimensionality reduction, data embedding, manifold learning	Dimensionality reduction (DR) and visualization of high-dimensional data is of theoretical and practical value in machine learning and related fields. In theory, there exists an intriguing, non-intuitive discrepancy between the geometry of high-dimensional space and low-dimensional space. Based on this discrepancy, we propose a novel DR and visualization method called Space-based Manifold Approximation and Projection (SpaceMAP). Our method establishes a quantitative space transformation to address the ``crowding problem" in DR; with the proposed equivalent extended distance (EED) and function distortion (FD) theory, we are able to match the capacity of high-dimensional and low-dimensional space, in a principled manner. To handle complex high-dimensional data with different manifold properties, SpaceMAP makes distinctions between the near field, middle field, and far field of data distribution in a data-specific, hierarchical manner. We evaluated SpaceMAP on a range of artificial and real datasets with different manifold properties, and demonstrated its excellent performance in comparison with classical and state-of-the-art DR methods. In addition, the concept of space distortion provides a generic framework for understanding nonlinear DR methods such as t-distributed Stochastic Neighbor Embedding (tSNE) and Uniform Manifold Approximation and Projection (UMAP).
r4PibJdCyn	TotalRecall: A Bidirectional Candidates Generation Framework for Large Scale Recommender \& Advertising Systems	https://openreview.net/forum?id=r4PibJdCyn	Recommender System, Advertising System, Collaborative filtering, Matrix Factorization, Contrastive Learning, Candidates Generation, Embeddings	Recommender (RS) and Advertising/Marketing Systems (AS) play the key roles in E-commerce companies like Amazaon and  Alibaba. RS needs to generate thousands of item candidates for each user ( u2i ), while AS needs to identify thousands or even millions of high-potential users for given items so that the merchant can advertise these items efficiently with limited budget ( i2u ). This paper proposes an elegant bidirectional candidates generation framework that can serve both purposes all together. Besides, our framework is also superior in these aspects:  i).  Our framework can easily incorporate many DNN-architectures of RS ( u2i ), and increase the HitRate and Recall by a large margin.  ii).  We archive much better results in  i2u  candidates generation compare to strong baselines.  iii).  We empirically show that our framework can diversify the generated candidates, and ensure fast convergence to better results.
